province,year_from,year_to,D_tt,D_t1t1,D_t_t1,D_t1_t,EFFCH,TECH,Malmquist
海南,2017,2018,1.0,0.9987620657404807,1.0501041775582982,1.015352410241584,0.9987620657404807,1.0175992344873594,1.0163395135325268
海南,2018,2019,0.9987620657404807,1.0,1.1344460543222987,0.8850585057118693,1.0012394686402126,1.1314541347979392,1.13285653671586
海南,2019,2020,1.0,1.0,1.102528042655919,0.9614796428800069,1.0,1.0708404687766506,1.0708404687766506
湖北,2016,2017,0.9644695951186778,0.9256357073252278,0.9493392130029563,0.9389469344828454,0.9597354981536028,1.0263947135942828,0.9850674417536336
湖北,2017,2018,0.9256357073252278,0.9703112870560243,0.9642838154385547,0.9313532709147153,1.0482647540249865,0.9938245595336542,1.0417912574435366
湖北,2018,2019,0.9703112870560243,0.9100025480164595,1.103001716240185,0.7980472151222431,0.9378459883502492,1.2139702345503014,1.1385171144496113
湖北,2019,2020,0.9100025480164595,0.9081836882153672,1.0069692085517679,0.8207422198913585,0.9980012585623448,1.1087641200648772,1.1065479872735182
湖南,2016,2017,0.9609066004771872,0.7695606342402405,0.817201758416934,0.9046667875584964,0.8008693392865402,1.0620366135648334,0.8505525610037828
湖南,2017,2018,0.7695606342402405,0.791037286505246,0.7881660300877593,0.7723461206933773,1.0279076804470497,0.9963818689379184,1.024188575739472
湖南,2018,2019,0.791037286505246,0.7601237248726724,0.9567579409312017,0.6277766293258072,0.9609202218909961,1.2593742214781924,1.2101581563466253
湖南,2019,2020,0.7601237248726724,0.8120166416217447,0.896009091514599,0.6889454176742904,1.068269039698458,1.1033758628935773,1.1787022734797792
甘肃,2016,2017,0.5363634263699408,0.4923123097242073,0.5148494652805913,0.5149455792998793,0.9178707673193389,1.0436832094110546,0.9579663082604349
甘肃,2017,2018,0.4923123097242073,0.4711466303616588,0.5290869381283902,0.4389851589718555,0.957007617025856,1.1222274921037698,1.0739802579791313
甘肃,2018,2019,0.4711466303616588,0.47455549368814115,0.546881315887188,0.411193225198421,1.0072352492977943,1.1491007542464882,1.1574147846717449
甘肃,2019,2020,0.47455549368814115,0.4754768463219679,0.5260785355895982,0.42896489099932233,1.0019415066226842,1.1063517649484176,1.1084997542270834
福建,2016,2017,1.0,1.0,1.008267078609711,1.0331795893551856,1.0,0.9878701995059368,0.9878701995059368
福建,2017,2018,1.0,1.0,1.1225123265380756,0.9301497315324248,1.0,1.0985482254068473,1.0985482254068473
福建,2018,2019,1.0,1.0,1.1470644555909761,0.9191795160325399,1.0,1.1171043486387469,1.1171043486387469
福建,2019,2020,1.0,1.0,1.1411659007611477,0.9632303351996768,1.0,1.088452089150482,1.088452089150482
西藏,2016,2017,1.0,1.0,1.0875654583317507,1.0105384527853811,1.0,1.0374120326152758,1.0374120326152758
西藏,2017,2018,1.0,1.0,1.2967500838365194,0.8843811764049005,1.0,1.2109003291217253,1.2109003291217253
西藏,2018,2019,1.0,1.0,1.3195087296678545,0.8531471009598455,1.0,1.243638545657607,1.243638545657607
西藏,2019,2020,1.0,1.0,1.1272550857113817,1.0879574724314522,1.0,1.0179000647051686,1.0179000647051686
贵州,2016,2017,1.0,1.0,1.1835362101120406,0.9590044745389399,1.0,1.1109140465025165,1.1109140465025165
贵州,2017,2018,1.0,1.0,1.2772834404702325,1.0123952729473154,1.0,1.1232297210522357,1.1232297210522357
