province,province_id,year,y_clean,ln_y_clean,cum_tfp,ln_cum_tfp,urban_rate,pop_density,ln_pop_density,primary_share,machinery,fertilizer,plastic_film,diesel,pesticide,output_nominal
安徽,9,2016,0.36606558919287024,-1.0049427561911477,1.0,0.0,0.533946626885463,430.620985010707,6.0652283180918465,9.5,6867.5,327.0,9.6966,75.7,10.5704,4655.5
安徽,9,2017,0.38962319990855754,-0.9425751609667584,1.0019935952466572,0.00199161067284035,0.552385669473337,432.334047109208,6.069198546632032,8.7,6312.9,318.7,9.7601,75.5,9.9394,4597.9
安徽,9,2018,0.42127184194510875,-0.8644769483449485,1.024078101417848,0.023792794624704756,0.569289005924951,433.690221270521,6.072330503366747,7.8,6543.8,311.8,9.7828,75.5,9.4177,4672.7
安徽,9,2019,0.4288129539812177,-0.8467344598375952,1.0915216576890543,0.08757273894481962,0.583191070256074,434.832262669522,6.074960353666137,7.9,6650.5,298.0,10.3735,74.7,8.8271,5162.1
安徽,9,2020,0.5034109479856088,-0.6863484484331629,1.2023647660679324,0.18429025602323804,0.583071242767938,435.743040685225,6.077052713383839,8.4,6799.5,289.9,10.3299,75.2,8.3294,5680.9
山东,10,2016,0.4699018792992657,-0.7552313735213608,1.0,0.0,0.591296500551489,630.803289057558,6.446994069180486,8.2,9797.6,456.5,29.7961,162.5,14.864,9325.9
山东,10,2017,0.5015934981723191,-0.6899652519238331,1.0122721641373134,0.012197471602808083,0.607893949965115,634.598355471221,6.452992287704233,7.7,10144.0,440.0,28.7098,157.7,14.067,9140.4
山东,10,2018,0.5030907867328422,-0.6869846346463033,1.0804448193253018,0.07737282608671665,0.614567827726506,637.381404174573,6.457368227059022,7.4,10415.2,420.3,27.6935,147.5,12.9882,9397.4
山东,10,2019,0.5326131921774482,-0.629959836518434,1.1637249251788144,0.15162600280671,0.618642390659014,639.21568627451,6.460241934630473,7.3,10679.8,395.3,26.7113,137.6,12.0342,9671.7
山东,10,2020,0.5650455070765169,-0.5708490075808895,1.2541764732130873,0.22647916054954065,0.63051145603674,642.916508538899,6.466014869055477,7.4,10964.7,380.9,26.5659,126.4,11.4311,10190.6
山西,11,2016,0.26221091838320565,-1.3386060670885276,1.0,0.0,0.572828685258964,224.250159540523,5.4127622123791115,6.06,1744.3,117.1,4.8922,29.2,3.055,1534.0
山西,11,2017,0.30282697279102816,-1.1945936834764406,1.0681828969895457,0.06595897773894725,0.586025641025641,223.994894703255,5.411623260091984,4.97,1376.3,112.0,4.9998,28.5,2.8831,1418.7
山西,11,2018,0.3308465616620673,-1.1061005710155276,1.0928661071710064,0.08880370138962627,0.598629354654483,223.484365028717,5.409341456477867,4.64,1441.1,109.6,4.9067,27.6,2.6543,1460.6
山西,11,2019,0.35759632573597067,-1.028350510523118,1.2004565997748615,0.18270198423464332,0.612928224192165,223.165283982131,5.4079126806954445,4.87,1517.6,108.4,4.8555,26.4,2.5319,1626.5
山西,11,2020,0.35970148741562086,-1.0224807931330873,1.3928940045171336,0.3313836003857882,0.625368511828191,222.743458838545,5.40602070043622,6.54,1595.3,107.4,4.8592,26.0,2.4866,1935.8
广东,12,2016,0.4937699546460252,-0.7056855491104859,1.0,0.0,0.701499832045683,662.291434927697,6.495705693092192,4.3,2390.5,261.0,4.5505,79.9,11.3652,6078.4
广东,12,2017,0.49759702663403294,-0.6979647129889411,0.9850620891826061,-0.015050605093498218,0.70739971995717,675.250278086763,6.515083404500501,3.9,2410.8,258.3,4.5867,77.7,11.2958,5969.9
广东,12,2018,0.49409779974527596,-0.7050218061958506,1.0642664842186682,0.062285814653545025,0.71810009718173,686.763070077864,6.531989356578575,3.8,2429.9,231.3,4.4814,88.5,9.3684,6318.1
广东,12,2019,0.4919676365144028,-0.7093423440956621,1.2340718179650625,0.21031912311307052,0.726500120105693,694.60511679644,6.54334350681961,4.0,2455.8,225.8,4.3842,85.5,8.7489,7175.9
广东,12,2020,0.5343198554693117,-0.6267606390594186,1.3765743691256787,0.31959807183863226,0.741523225131321,702.091768631813,6.554064120028844,4.3,2495.4,219.8,4.2558,85.8,8.3217,7901.9
广西,13,2016,0.2949741292244752,-1.2208676240321237,1.0,0.0,0.492485073090385,204.419191919192,5.320172747851301,17.4,3527.3,262.1,4.8445,63.6,8.5694,4591.4
广西,13,2017,0.36519655906111115,-1.0073195523727676,1.1128114281238415,0.10688963127587411,0.505808029345832,206.523569023569,5.330414541595459,16.2,3658.3,263.8,4.7693,56.8,7.2495,4698.7
广西,13,2018,0.4026806904695386,-0.9096113624369306,1.2016905810423513,0.18372938287689788,0.518293915504346,208.207070707071,5.338533116733266,15.4,3750.8,255.0,4.7195,52.7,6.9714,4909.2
广西,13,2019,0.423625785253141,-0.8589047954050822,1.3323054124525997,0.28691083446365523,0.529706945002007,209.680134680135,5.345583201327683,16.0,3840.0,252.0,4.7577,53.4,6.8144,5498.8
广西,13,2020,0.43990393084354673,-0.8211989149011972,1.418739431254809,0.3497687528840118,0.542074473172442,211.225589225589,5.352926705598701,16.5,3901.4,247.9,4.8712,52.8,6.6026,5913.3
新疆,14,2016,0.3445897164052109,-1.0654007974542807,1.0,0.0,0.504200988467875,14.882010419859,2.7001531291400576,15.3,2552.2,250.2,26.6198,87.8,2.7596,2969.7
新疆,14,2017,0.3908905790614032,-0.939327607109613,1.0944471042748856,0.09024930814675085,0.519,15.2007355194606,2.7213438161196972,13.9,2638.8,250.7,25.2646,88.3,2.767,3326.6
新疆,14,2018,0.4082931957065625,-0.8957697457316369,1.2204784263092292,0.19924293458586953,0.540099206349206,15.4459086730003,2.737344157466139,13.2,2731.8,255.0,26.9839,95.5,2.3732,3637.8
新疆,14,2019,0.46147957903419234,-0.7733174751315938,1.2848755168203654,0.2506618395848328,0.555099648300117,15.6849524977015,2.752701813120459,13.1,2789.0,257.8,26.2677,94.2,2.2948,3850.6
